id,type,number,character name,character sprite,nameKey,track0,track1,act,trigger,direction,sprite position,korean,english,desc
Dan000,line,000,???,papra,???,idle,,,SetBlack,left,1630,전하. 일어나십시오.,"My lord, It is time to wake up.",파프라를 검정색으로 칠해서 코난 범인처럼 보이게
Dan000,line,001,???,dantallion,???,idle,blink_start,,SetBlack,right,235,음…,Hmmm……,단탈리온을 파프라와 마찬가지로 코난 범인처럼 보이게
Dan000,line,002,???,papra,???,,,,,left,1630,단탈리온 전하.,Lord Dantalion.,
Dan000,line,003,마왕 단탈리온,dantallion,npc_name_dan,,,,FadeIn,right,235,…5년…만,…5…more…years….,단탈리온을 기본 상태로 보여줌 + 눈을 감고 있음
Dan000,line,004,???,papra,???,,,,,left,1630,하아,(Sigh),
Dan000,line,005,???,papra,???,,,,,left,1630,전하께서 숨겨둔 비자금을…,"Well then, I shall dispose your secret fund….",
Dan000,choice,006_a,,,,,,,,,,아… 안된다!,Ah… No way!,
Dan000,choice,007_b,,,,,,,,,,흥… 그런건 없다.,Hmmph…I do not own such thing.,
Dan000,line,a_001,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,아… 안된다!,Ah… No way!,단탈리온 표정 - 당황
Dan000,line,a_002,???,papra,???,,,,FadeIn,left,1630,드디어 일어나셨군요. 소인 참으로 감격스럽습니다.,You're finally awake. I am grateful.,파프라를 기본상태로 보여줌
Dan000,line,a_003,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,아니. 내 비상금을 대체 어떻게?,But how? It was 'my' secret fund.,
Dan000,line,a_004,파프라,papra,npc_name_papra,,blink_start,,,left,1630,전하께서 직접 소인에게 맡기셨나이다.,Lord Dantalion himself ordered me to manage it.,파프라 표정 - 눈 감음
Dan000,line,a_005,마왕 단탈리온,dantallion,npc_name_dan,,blink,,,right,235,아… 음…,Ah… Mmm…,단탈리온 표정 - 기본
Dan000,line,a_006,파프라,papra,npc_name_papra,,blink_end,NoTalk,,left,1630,…,…,파프라 표정 - 기본
Dan000,line,a_007,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,크흠흠!,(Coughs awkwardly),
Dan000,line,a_008,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,과인을 깨운 이유가 무엇인고?,"So then, what made you to woke me up?",
Dan000,line,a_009,,,,,,,,,,삐-삐-삐-,Beep-Beep-Beep-Beep,
Dan000,line,a_010,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,지금 시끄럽게 울려대는 이 종소리와 관련이 있는 건가?,Does it have something to do with this loud alarm?,
Dan000,line,b_001,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,흥… 그런건 없다.,Hmmph…I do not own such thing.,
Dan000,line,b_002,파프라,papra,npc_name_papra,,,,FadeIn,left,1630,그렇군요.,I see.,
Dan000,line,b_003,파프라,papra,npc_name_papra,,,,,left,1630,하면 전하의 빚을 변제하는데 이 비상금을 쓰겠나이다.,"I shall use it to pay off your debts, then.",파프라를 기본상태로 보여줌 + 파프라 표정 - 웃음
Dan000,line,b_004,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,잠깐만,Wait,
Dan000,line,b_005,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,다시 생각해보니 그 돈은 과인의 것이 맞다.,"Now I realize - that belongs to me, for sure.",
